ConceptA,ConceptB,ChapterDist,PageDist,LineDist,WordDist,Total,LineCount,WordCount,Complexity,Prereq,Avg_ChapterDist,Avg_PageDist,Avg_LineDist,Avg_WordDist,pred,bin_id,match
Polynomial long division,Synthetic division,3510,102388,0,334,8918,122,8,317,1,0.3935860058309038,11.481049562682216,0.0,41.75,1,39,1
Polynomial long division,Factorization,-4171,-143022,0,-459,8575,89,8,318,0,-0.4864139941690962,-16.678950437317784,0.0,-57.375,0,39,1
Fundamental theorem of algebra,Matrix (mathematics),-4360,-155260,0,0,780,2,1,-68,0,-5.589743589743589,-199.05128205128204,0.0,0.0,0,31,1
Algebra,Fundamental theorem of algebra,200,4540,0,0,60,1,1,-4,1,3.3333333333333335,75.66666666666667,0.0,0.0,1,32,1
Fundamental theorem of algebra,Real number,-2650,-3840,0,0,1520,10,1,-142,0,-1.743421052631579,-2.526315789473684,0.0,0.0,0,30,1
Floor and ceiling functions,Real number,19276,16475088,0,-3343,272992,309,36,1644,0,0.07061012776931191,60.35007619270895,0.0,-92.86111111111111,0,63,1
Floor and ceiling functions,Function (mathematics),-528932,-19076468,0,28,140088,96,4,1718,0,-3.775712409342699,-136.17489006909943,0.0,7.0,0,63,1
Floor and ceiling functions,Binomial coefficient,-922886,-39103502,0,0,95188,1,1,1743,0,-9.69540278186326,-410.80285330083626,0.0,0.0,0,63,1
Floor and ceiling functions,Limit of a sequence,-4456180,-189409212,0,1458,387936,367,35,1580,0,-11.486894745525035,-488.2486080178174,0.0,41.65714285714286,0,63,1
Floor and ceiling functions,Scientific notation,20550,1730678,0,0,5388,1,1,1793,0,3.814031180400891,321.209725315516,0.0,0.0,0,63,1
Floor and ceiling functions,Series (mathematics),-528932,-19076468,0,28,140088,96,4,1718,0,-3.775712409342699,-136.17489006909943,0.0,7.0,0,63,1
Floor and ceiling functions,Mathematical proof,-20090,-860506,0,0,1796,1,1,1795,0,-11.18596881959911,-479.1236080178174,0.0,0.0,0,63,1
Floor and ceiling functions,Number,19276,16475088,0,-3343,272992,309,36,1644,0,0.07061012776931191,60.35007619270895,0.0,-92.86111111111111,0,63,1
Floor and ceiling functions,Periodic function,-8520,-484012,0,-144,7184,38,4,1792,0,-1.1859688195991092,-67.37360801781738,0.0,-36.0,0,63,1
Floor and ceiling functions,Mathematics,-528932,-19076468,0,28,140088,96,4,1718,0,-3.775712409342699,-136.17489006909943,0.0,7.0,0,63,1
Floor and ceiling functions,Division (mathematics),-528932,-19076468,0,28,140088,96,4,1718,0,-3.775712409342699,-136.17489006909943,0.0,7.0,0,63,1
Logarithm,Binary logarithm,-170,-12254,0,576,1932,56,12,-149,1,-0.08799171842650104,-6.342650103519669,0.0,48.0,1,30,1
Binary logarithm,Scientific notation,1572,157382,0,0,483,1,1,158,0,3.2546583850931676,325.84265010351965,0.0,0.0,0,36,1
Binary logarithm,Common logarithm,410,21589,0,-335,1610,62,10,151,0,0.2546583850931677,13.409316770186335,0.0,-33.5,0,36,1
Piecewise,Inverse function,760,-9170,0,0,760,1,1,-18,0,1.0,-12.06578947368421,0.0,0.0,0,32,1
Piecewise,Maxima and minima,300,11270,0,0,120,1,1,14,0,2.5,93.91666666666667,0.0,0.0,0,33,1
Piecewise,Interval (mathematics),-5600,-271910,0,0,1560,1,1,-58,0,-3.58974358974359,-174.30128205128204,0.0,0.0,0,31,1
Piecewise,Function (mathematics),-5600,-271910,0,0,1560,1,1,-58,0,-3.58974358974359,-174.30128205128204,0.0,0.0,0,31,1
Function (mathematics),Inverse function,13604,480866,0,0,2964,1,1,40,1,4.589743589743589,162.23549257759785,0.0,0.0,1,33,1
Inverse function,Inverse trigonometric functions,-55556,-1778584,0,780,68248,278,38,-1758,0,-0.8140311804008908,-26.060602508498416,0.0,20.526315789473685,0,0,1
Maxima and minima,Injective function,-24936,-1422896,0,92,10776,45,4,-1790,0,-2.314031180400891,-132.0430586488493,0.0,23.0,0,0,1
Maxima and minima,Real number,-2046,-65384,0,0,912,1,1,-146,0,-2.2434210526315788,-71.69298245614036,0.0,0.0,0,30,1
Interval (mathematics),Analytic geometry,4184,184532,0,-467,2730,8,3,43,0,1.5326007326007327,67.59413919413919,0.0,-155.66666666666666,1,33,0
Interval (mathematics),Real line,116116,4640428,0,-312,74022,46,2,-871,0,1.5686687741482261,62.68984896382157,0.0,-156.0,1,15,0
Interval (mathematics),Inequality (mathematics),39274,1931236,0,-287,11310,6,1,-67,0,3.472502210433245,170.75473032714413,0.0,-287.0,0,31,1
Interval (mathematics),Empty set,1354,72946,0,0,312,1,1,74,0,4.339743589743589,233.80128205128204,0.0,0.0,0,34,1
Interval (mathematics),Integer,24836,1192070,0,-967,9048,11,2,-38,0,2.744916003536693,131.74955791335103,0.0,-483.5,0,32,1
Interval (mathematics),Closed set,43256,2118884,0,21,20046,17,1,-179,0,2.1578369749575974,105.70108749875287,0.0,21.0,0,29,1
Interval (mathematics),Real number,45602,2330000,0,0,11856,6,1,-74,0,3.8463225371120107,196.52496626180837,0.0,0.0,0,31,1
Interval (mathematics),Mathematics,-65170,-2744230,0,172,20436,10,1,184,0,-3.188980230964964,-134.28410647876296,0.0,172.0,0,36,1
Function (mathematics),Zero of a function,528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Function (mathematics),Binary logarithm,54440,1651904,0,190,12558,8,1,-83,0,4.335085204650422,131.5419652810957,0.0,190.0,0,31,1
Function (mathematics),Inverse function,13604,480866,0,0,2964,1,1,40,1,4.589743589743589,162.23549257759785,0.0,0.0,1,33,1
Function (mathematics),Function composition,528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Function (mathematics),Quadratic function,15540,655656,0,0,2808,1,1,42,1,5.534188034188034,233.4957264957265,0.0,0.0,1,33,1
Function (mathematics),Empty set,1354,72946,0,0,312,1,1,74,0,4.339743589743589,233.80128205128204,0.0,0.0,0,34,1
Function (mathematics),Real number,45602,2330000,0,0,11856,6,1,-74,0,3.8463225371120107,196.52496626180837,0.0,0.0,0,31,1
Function (mathematics),Injective function,528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Function (mathematics),Nth root,4596,249240,0,0,2106,1,1,51,0,2.1823361823361824,118.34757834757835,0.0,0.0,0,34,1
Function (mathematics),Rational function,528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Function (mathematics),Equation solving,82422,2308296,0,-1062,130104,101,8,-1590,0,0.633508577753182,17.74192953329644,0.0,-132.75,0,1,1
Function (mathematics),Transformation (function),528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Function (mathematics),Vertical line test,116116,4640428,0,-312,74022,46,2,-871,1,1.5686687741482261,62.68984896382157,0.0,-156.0,1,15,1
Function (mathematics),Cubic function,436,19426,0,0,78,1,1,77,1,5.589743589743589,249.05128205128204,0.0,0.0,1,34,1
Function (mathematics),Limit of a function,-129918,-5931738,0,662,16848,19,2,-138,1,-7.711182336182336,-352.07371794871796,0.0,331.0,1,30,1
Function (mathematics),Periodic function,808,21466,0,0,312,1,1,74,1,2.58974358974359,68.80128205128206,0.0,0.0,1,34,1
Mathematics,Function (mathematics),528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Function (mathematics),Domain of a function,1744,83398,0,0,312,1,1,74,1,5.589743589743589,267.30128205128204,0.0,0.0,1,34,1
Function (mathematics),Distance,63752,2376686,0,569,32448,25,2,-338,0,1.9647435897435896,73.24599358974359,0.0,284.5,0,26,1
Function (mathematics),Continuous function,528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Function (mathematics),Monotonic function,528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Function (mathematics),Exponential function,528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Function (mathematics),Graph of a function,528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Function (mathematics),Natural logarithm,4140,129060,0,0,936,1,1,66,0,4.423076923076923,137.8846153846154,0.0,0.0,0,34,1
Function (mathematics),Exponential growth,2864,83960,0,0,624,1,1,70,1,4.589743589743589,134.55128205128204,0.0,0.0,1,34,1
Function (mathematics),Inequality (mathematics),39274,1931236,0,-287,11310,6,1,-67,0,3.472502210433245,170.75473032714413,0.0,-287.0,0,31,1
Function (mathematics),Even and odd functions,2772,118038,0,0,468,1,1,72,0,5.923076923076923,252.21794871794873,0.0,0.0,0,34,1
Function (mathematics),Constant function,528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Function (mathematics),Linear function,116116,4640428,0,-312,74022,46,2,-871,1,1.5686687741482261,62.68984896382157,0.0,-156.0,1,15,1
Union (set theory),Natural number,-116266,-6957934,0,-1061,233613,443,41,-652,0,-0.4976863445099374,-29.78401886881295,0.0,-25.878048780487806,0,19,1
Union (set theory),Associative property,-3849,-120931,0,0,1799,3,1,250,0,-2.139521956642579,-67.2212340188994,0.0,0.0,0,37,1
Union (set theory),Addition,-504712,-29950598,0,73,274990,268,1,-813,0,-1.835383104840176,-108.91522600821848,0.0,73.0,0,16,1
Union (set theory),Open set,-9772,-592244,0,-47,1799,24,4,-250,0,-5.4319066147859925,-329.20733740967205,0.0,-11.75,0,27,1
Union (set theory),Empty set,2243,131687,0,-104,1028,12,4,253,0,2.181906614785992,128.1001945525292,0.0,-26.0,0,38,1
Union (set theory),Distributive property,7810,850633,0,0,7967,7,1,226,0,0.9802937115601857,106.76954939123885,0.0,0.0,0,37,1
Union (set theory),Integer,17502,776557,0,-1359,29812,47,8,141,0,0.5870790285790957,26.04847041459815,0.0,-169.875,0,35,1
Union (set theory),Closed set,-9772,-592244,0,-47,1799,24,4,-250,0,-5.4319066147859925,-329.20733740967205,0.0,-11.75,0,27,1
Union (set theory),Commutative property,-3446,-99947,0,0,1542,3,1,251,0,-2.2347600518806745,-64.81647211413748,0.0,0.0,0,38,1
Natural number,Negative number,59751,2461950,0,-430,16362,112,18,891,0,3.6518151815181517,150.46754675467548,0.0,-23.88888888888889,0,50,1
Natural number,Subtraction,-20228,-1405955,0,-226,29088,64,7,877,0,-0.6954070407040704,-48.33453657865787,0.0,-32.285714285714285,0,50,1
Natural number,Geometry,-4058,-264794,0,150,31815,34,2,874,0,-0.12754989784692755,-8.322929435800724,0.0,75.0,0,50,1
Real number,Natural number,-302059,-16664152,0,1000,138168,669,152,-757,1,-2.1861719066643506,-120.60789763186845,0.0,6.578947368421052,1,17,1
Natural number,Function (mathematics),-117708,-5382672,0,1087,70902,171,12,831,0,-1.66015063044766,-75.91706862993992,0.0,90.58333333333333,0,49,1
Natural number,Empty set,9743,574067,0,0,3636,3,1,905,0,2.6795929592959298,157.88421342134214,0.0,0.0,0,51,1
Natural number,Rational number,94946,5774834,0,-577,19998,206,22,887,0,4.747774777477748,288.7705770577058,0.0,-26.227272727272727,0,50,1
Natural number,Set-builder notation,16170,1059351,0,-72,2727,17,1,906,0,5.929592959295929,388.4675467546755,0.0,-72.0,0,51,1
Natural number,Integer,114382,5887201,0,-424,105444,286,31,793,1,1.084765373089033,55.8324892834111,0.0,-13.67741935483871,1,48,1
Number,Natural number,-302059,-16664152,0,1000,138168,669,152,-757,1,-2.1861719066643506,-120.60789763186845,0.0,6.578947368421052,1,17,1
Natural number,Division (mathematics),-117708,-5382672,0,1087,70902,171,12,831,0,-1.66015063044766,-75.91706862993992,0.0,90.58333333333333,0,49,1
Associative property,Algebraic expression,6785,241908,0,0,2184,3,1,-305,0,3.1066849816849818,110.76373626373626,0.0,0.0,0,26,1
Associative property,Multiplication,-158,-8495,0,-64,42,2,1,1,0,-3.761904761904762,-202.26190476190476,0.0,-64.0,0,33,1
Associative property,Subtraction,212,-2441,0,0,224,2,1,-25,0,0.9464285714285714,-10.897321428571429,0.0,0.0,0,32,1
Associative property,Function (mathematics),-10,-21010,0,0,546,1,1,-71,0,-0.018315018315018316,-38.47985347985348,0.0,0.0,0,31,1
Associative property,Set (mathematics),-10,-21010,0,0,546,1,1,-71,0,-0.018315018315018316,-38.47985347985348,0.0,0.0,0,31,1
Associative property,Addition,2278,-312288,0,11,7490,15,4,-1063,0,0.3041388518024032,-41.693991989319095,0.0,2.75,0,11,1
Associative property,Commutative property,-4,101,0,140,42,4,4,1,0,-0.09523809523809523,2.4047619047619047,0.0,35.0,0,33,1
Associative property,Real number,4073,168160,0,0,1064,9,1,-145,0,3.8280075187969924,158.04511278195488,0.0,0.0,0,30,1
Associative property,Complex number,872,-2243,0,0,595,1,1,-78,0,1.4655462184873949,-3.769747899159664,0.0,0.0,0,31,1
Associative property,Division (mathematics),-10,-21010,0,0,546,1,1,-71,0,-0.018315018315018316,-38.47985347985348,0.0,0.0,0,31,1
Addition,Parity (mathematics),-26912,268252,0,232,83460,96,1,992,0,-0.3224538701174215,3.214138509465612,0.0,232.0,0,52,1
Addition,Binary logarithm,691256,23214434,0,0,172270,161,1,909,0,4.012631334533,134.75610379056133,0.0,0.0,0,51,1
Addition,Function (mathematics),-26912,268252,0,232,83460,96,1,992,0,-0.3224538701174215,3.214138509465612,0.0,232.0,0,52,1
Addition,Natural number,1301084,76965386,0,-692,972630,1090,16,161,0,1.3376967603302385,79.13120713940553,0.0,-43.25,0,36,1
Addition,Distributive property,93396,7154264,0,98,33170,46,5,1039,0,2.815676816400362,215.68477539945735,0.0,19.6,0,53,1
Addition,Integer,300676,16751694,0,-16,124120,147,1,954,0,2.4224621334192715,134.96369642281664,0.0,-16.0,0,52,1
Addition,Commutative property,-2564,283114,0,55,6420,14,5,1064,0,-0.3993769470404984,44.098753894081,0.0,11.0,0,54,1
Addition,Real number,573122,32485568,0,-176,162640,196,5,918,0,3.523868666994589,199.739104771274,0.0,-35.2,0,51,1
Addition,Complex number,105630,3449210,0,-27,90950,103,2,985,0,1.1614073666849918,37.924244090159426,0.0,-13.5,0,52,1
Addition,Nth root,53732,3511918,0,0,28890,30,1,1043,0,1.8598823122187609,121.56171685704396,0.0,0.0,0,53,1
Addition,Circle,178814,6697096,0,0,84530,84,1,991,0,2.115390985448953,79.22744587720337,0.0,0.0,0,52,1
Addition,Geometry,45320,2651770,0,0,37450,36,1,1035,0,1.2101468624833112,70.8082777036048,0.0,0.0,0,53,1
Addition,Equation,236140,12950870,0,0,42800,40,1,1030,0,5.517289719626168,302.59042056074765,0.0,0.0,0,53,1
Addition,Elementary matrix,-1321206,-55696984,0,-92,277130,274,3,811,0,-4.767459315122866,-200.97782268249557,0.0,-30.666666666666668,1,49,0
Addition,Scientific notation,23328,1478522,0,0,3210,4,1,1067,0,7.267289719626168,460.59875389408097,0.0,0.0,0,54,1
Addition,Number,573122,32485568,0,-176,162640,196,5,918,1,3.523868666994589,199.739104771274,0.0,-35.2,0,51,0
Addition,Matrix ring,-1321206,-55696984,0,-92,277130,274,3,811,1,-4.767459315122866,-200.97782268249557,0.0,-30.666666666666668,1,49,1
Addition,sum,-74466,-3011634,0,0,9630,9,1,1061,1,-7.732710280373832,-312.73457943925234,0.0,0.0,1,54,1
Addition,Division (mathematics),-26912,268252,0,232,83460,96,1,992,0,-0.3224538701174215,3.214138509465612,0.0,232.0,0,52,1
Arithmetic,Addition,41370,1736260,0,0,5350,5,1,-1065,1,7.732710280373832,324.53457943925235,0.0,0.0,1,11,1
Addition,Subtraction,21992,1054478,0,-566,34240,110,25,1038,0,0.6422897196261682,30.796670560747664,0.0,-22.64,0,53,1
Addition,Negative number,1301084,76965386,0,-692,972630,1090,16,161,0,1.3376967603302385,79.13120713940553,0.0,-43.25,0,36,1
Addition,Algebraic expression,935602,50896488,0,-973,333840,439,16,758,0,2.8025461298825785,152.45772825305536,0.0,-60.8125,0,48,1
Addition,Summation,-74466,-3011634,0,0,9630,9,1,1061,1,-7.732710280373832,-312.73457943925234,0.0,0.0,1,54,1
Addition,Inequality (mathematics),-26912,268252,0,232,83460,96,1,992,0,-0.3224538701174215,3.214138509465612,0.0,232.0,0,52,1
Addition,Even and odd functions,35956,1639874,0,0,6420,10,1,1064,0,5.600623052959501,255.43208722741434,0.0,0.0,0,54,1
Addition,Rational number,143252,8660408,0,0,23540,36,1,1048,0,6.085471537807987,367.9017841971113,0.0,0.0,0,53,1
Addition,Linear inequality,1265444,66920886,0,-466,1015430,982,4,121,0,1.2462149040308046,65.90398747328717,0.0,-116.5,0,35,1
Open set,Real line,-143694,-10490140,0,-1624,243893,512,39,-692,0,-0.5891682008093713,-43.0112385349313,0.0,-41.64102564102564,0,19,1
Open set,Interval (mathematics),-43256,-2118884,0,-21,20046,17,1,179,0,-2.1578369749575974,-105.70108749875287,0.0,-21.0,0,36,1
Open set,Function (mathematics),-43256,-2118884,0,-21,20046,17,1,179,0,-2.1578369749575974,-105.70108749875287,0.0,-21.0,0,36,1
Open set,Set (mathematics),-43256,-2118884,0,-21,20046,17,1,179,1,-2.1578369749575974,-105.70108749875287,0.0,-21.0,0,36,0
Open set,Rational number,24030,1464310,0,-50,5654,16,1,235,0,4.250088432967811,258.98655818889284,0.0,-50.0,0,37,1
Open set,Empty set,2243,131687,0,-104,1028,12,4,253,0,2.181906614785992,128.1001945525292,0.0,-26.0,0,38,1
Open set,Real number,65959,3547944,0,-248,39064,109,17,105,0,1.6884855621544133,90.8238787630555,0.0,-14.588235294117647,0,35,1
Open set,Domain of a function,3528,166125,0,-68,1028,7,2,253,0,3.431906614785992,161.6001945525292,0.0,-34.0,0,38,1
Empty set,Closed set,-2243,-131687,0,104,1028,12,4,-253,0,-2.181906614785992,-128.1001945525292,0.0,26.0,0,27,1
Integer,Binary logarithm,29698,-3877,0,0,18676,12,1,-45,0,1.590169201113729,-0.20759263225530092,0.0,0.0,0,32,1
Integer,Real number,19420,1142120,0,46,17632,92,12,-36,0,1.1014065335753176,64.77540834845735,0.0,3.8333333333333335,0,32,1
Integer,Function (mathematics),-24836,-1192070,0,967,9048,11,2,38,0,-2.744916003536693,-131.74955791335103,0.0,483.5,0,33,1
Integer,Inequality (mathematics),-24836,-1192070,0,967,9048,11,2,38,0,-2.744916003536693,-131.74955791335103,0.0,483.5,0,33,1
Natural number,Integer,114382,5887201,0,-424,105444,286,31,793,1,1.084765373089033,55.8324892834111,0.0,-13.67741935483871,1,48,1
Integer,Rational number,9348,594458,0,-164,2552,57,6,94,0,3.6630094043887147,232.93808777429467,0.0,-27.333333333333332,0,34,1
Integer,Distributive property,1414,290273,0,329,3596,12,1,85,0,0.3932146829810901,80.72107897664071,0.0,329.0,0,34,1
Integer,Sine,-46668,-4293844,0,265,33872,37,8,-176,0,-1.377775153519131,-126.7667690127539,0.0,33.125,0,29,1
Number,Integer,-19420,-1142120,0,-46,17632,92,12,36,1,-1.1014065335753176,-64.77540834845735,0.0,-3.8333333333333335,0,33,0
Integer,Division (mathematics),-24836,-1192070,0,967,9048,11,2,38,0,-2.744916003536693,-131.74955791335103,0.0,483.5,0,33,1
Integer,Nth root,-1762,-41975,0,815,3132,30,4,89,0,-0.5625798212005109,-13.401979565772669,0.0,203.75,0,34,1
Integer,Equation solving,-408532,-22059108,0,683,193488,195,19,-1552,0,-2.111407425783511,-114.00762838005458,0.0,35.94736842105263,0,1,1
Commutative property,Algebraic expression,5994,202848,0,0,1872,3,1,-306,0,3.201923076923077,108.35897435897436,0.0,0.0,0,26,1
Commutative property,Division (mathematics),36,-19134,0,0,468,1,1,-72,0,0.07692307692307693,-40.88461538461539,0.0,0.0,0,31,1
Commutative property,Subtraction,200,-2554,0,0,192,1,1,-26,0,1.0416666666666667,-13.302083333333334,0.0,0.0,0,32,1
Commutative property,Function (mathematics),36,-19134,0,0,468,1,1,-72,0,0.07692307692307693,-40.88461538461539,0.0,0.0,0,31,1
Commutative property,Real number,3578,141944,0,0,912,8,1,-146,0,3.9232456140350878,155.640350877193,0.0,0.0,0,30,1
Real number,Natural number,-302059,-16664152,0,1000,138168,669,152,-757,1,-2.1861719066643506,-120.60789763186845,0.0,6.578947368421052,1,17,1
Real number,Empty set,300,22664,0,0,608,2,1,148,0,0.4934210526315789,37.276315789473685,0.0,0.0,0,35,1
Real number,Distributive property,-3337,75136,0,142,4712,22,2,121,0,-0.7081918505942275,15.945670628183361,0.0,71.0,0,35,1
Real number,Closed set,-65959,-3547944,0,248,39064,109,17,-105,0,-1.6884855621544133,-90.8238787630555,0.0,14.588235294117647,0,30,1
Real number,Nth root,-6829,-320840,0,26,4104,20,1,125,0,-1.6639863547758285,-78.17738791423002,0.0,26.0,0,35,1
Real number,Analytic geometry,-12309,-685912,0,0,5320,9,1,117,0,-2.313721804511278,-128.93082706766918,0.0,0.0,0,35,1
Real number,System of linear equations,-328547,-19305448,0,1282,144248,183,19,-797,0,-2.2776537629637845,-133.8351172979868,0.0,67.47368421052632,0,17,1
Real number,Real line,-328547,-19305448,0,1282,144248,183,19,-797,1,-2.2776537629637845,-133.8351172979868,0.0,67.47368421052632,0,17,0
Real number,Cartesian coordinate system,-25486,-1325336,0,0,3952,2,1,126,0,-6.448886639676114,-335.3582995951417,0.0,0.0,0,35,1
Real number,Limit of a sequence,-379456,-18011592,0,0,32832,8,1,-64,0,-11.557504873294347,-548.5986842105264,0.0,0.0,0,31,1
Real number,Mathematical proof,-1711,-82000,0,0,152,1,1,151,0,-11.256578947368421,-539.4736842105264,0.0,0.0,0,36,1
Number,Real number,-302059,-16664152,0,1000,138168,669,152,-757,1,-2.1861719066643506,-120.60789763186845,0.0,6.578947368421052,1,17,1
Real number,Domain of a function,1060,43032,0,0,608,2,1,148,0,1.743421052631579,70.77631578947368,0.0,0.0,0,35,1
Real number,Distance,-118976,-7795176,0,207,63232,125,8,-264,0,-1.881578947368421,-123.27897267206478,0.0,25.875,0,27,1
Real number,Vector (mathematics and physics),-45602,-2330000,0,0,11856,6,1,74,0,-3.8463225371120107,-196.52496626180837,0.0,0.0,0,34,1
Real number,Extended real number line,-328547,-19305448,0,1282,144248,183,19,-797,0,-2.2776537629637845,-133.8351172979868,0.0,67.47368421052632,0,17,1
Real number,Graph of a function,-19276,-16475088,0,3343,272992,309,36,-1644,0,-0.07061012776931191,-60.35007619270895,0.0,92.86111111111111,0,0,1
Real number,Natural logarithm,1052,-106960,0,0,1824,1,1,140,0,0.5767543859649122,-58.64035087719298,0.0,0.0,0,35,1
Real number,Inequality (mathematics),-45602,-2330000,0,0,11856,6,1,74,0,-3.8463225371120107,-196.52496626180837,0.0,0.0,0,34,1
Real number,Common logarithm,1130,-78392,0,0,1520,1,1,142,0,0.743421052631579,-51.57368421052632,0.0,0.0,0,35,1
Rational number,Real number,-8566,-562336,0,53,3344,69,2,-130,1,-2.561602870813397,-168.16267942583733,0.0,26.5,1,30,1
Injective function,Inverse function,55556,1778584,0,-780,68248,278,38,1758,0,0.8140311804008908,26.060602508498416,0.0,-20.526315789473685,0,63,1
Function (mathematics),Injective function,528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Rationalisation (mathematics),Complex number,9838,230128,0,14,6630,11,2,-7,0,1.4838612368024133,34.71010558069381,0.0,7.0,0,32,1
Rationalisation (mathematics),Nth root,4596,249240,0,0,2106,1,1,51,0,2.1823361823361824,118.34757834757835,0.0,0.0,0,34,1
Rationalisation (mathematics),Square root,20260,965194,0,0,4992,3,1,14,0,4.058493589743589,193.34815705128204,0.0,0.0,0,33,1
Complex number,Zero of a function,349874,15489614,0,86,152660,45,5,-1711,0,2.2918511725402855,101.46478448840561,0.0,17.2,0,0,1
Complex number,Fundamental theorem of algebra,3490,139690,0,0,850,12,1,75,0,4.105882352941176,164.34117647058824,0.0,0.0,0,34,1
Complex number,Pythagorean theorem,2426,158796,0,0,2040,5,1,61,0,1.1892156862745098,77.84117647058824,0.0,0.0,0,34,1
Complex number,Interval (mathematics),-9838,-230128,0,-14,6630,11,2,7,0,-1.4838612368024133,-34.71010558069381,0.0,-7.0,0,33,1
